#iata,airport,city,state,country
6A4,Johnson County,Mountain City,TN,USA
6A8,Allakaket,Allakaket,AK,USA
6B0,Middlebury State,Middlebury,VT,USA
6B4,Frankfort-Highland,Utica/Frankfort,NY,USA
6B6,Minute Man Airfield,Stow,MA,USA
6B8,Caledonia County State,Lyndonville,VT,USA
6B9,Skaneateles Aero Drome,Skaneateles,NY,USA
6D6,Greenville Municipal,Greenville,MI,USA
6D8,Barnes County Municipal,Valley City,ND,USA
6F1,Talihina Municipal,Talihina,OK,USA
6G1,Titusville,Titusville,PA,USA
6G5,Barnesville - Bradfield,Barnesville,OH,USA
6I2,Lebanon-Springfield,Springfield,KY,USA
6J0,Corporate,Pelion,SC,USA
6J2,St George,St George,SC,USA
6J4,Saluda County,Saluda,SC,USA
6K3,Creighton Municipal,Creighton,NE,USA
6K4,Fairview Municipal,Fairview,OK,USA
6K8,Tok Junction,Tok,AK,USA
6L4,Logan County,Logan,WV,USA
6M2,Horseshoe Bend,Horseshoe Bend,AR,USA
6M6,Lewis County Regional,Monticello,MO,USA
6M7,Lee County-Marianna,Marianna,AR,USA
6M8,Marked Tree Municipal,Marked Tree,AR,USA
6N5,E 34th St Heliport,New York,NY,USA
6N7,New York Skyports Inc. SPB,New York,NY,USA
6N8,Thomas County,Thedford,NE,USA
6R3,Cleveland Municipal,Cleveland,TX,USA
6R7,Old Harbor (New),Old Harbor,AK,USA
6R9,Llano Municipal,Llano,TX,USA
6S0,Big Timber,Big Timber,MT,USA
6S2,Florence Muni,Florence,OR,USA
6S3,Columbus,Columbus,MT,USA
6S5,Ravalli County,Hamilton,MT,USA
6S8,Laurel Municipal,Laurel,MT,USA
6V0,Edgemont Municipal,Edgemont,SD,USA
6V3,Tazewell County,Richlands,VA,USA
6V4,Wall Municipal,Wall,SD,USA
6V6,Hopkins,Nucla,CO,USA
70J,Cairo-Grady County,Cairo,GA,USA
71J,Blackwell,Ozark,AL,USA
72S,Rosalia Municipal,Rosalia,WA,USA
73C,Lancaster,Lancaster,WI,USA
73J,Beaufort County,Beaufort,SC,USA
74D,Marshall Cty,Moundsville,WV,USA
74S,Anacortes,Anacortes,WA,USA
74V,Roosevelt Municipal,Roosevelt,UT,USA
75J,Turner County,Ashburn,GA,USA
76G,Marine City,Marine City,MI,USA
77G,Marlette Township,Marlette,MI,USA
77S,Hobby,Creswell,OR,USA
78D,Caro Municipal,Caro,MI,USA
79D,Philippi-Barbour County Regional,Philippi,WV,USA
79J,Andalusia,Andalusia,AL,USA
79S,Fort Benton,Fort Benton,MT,USA
7A0,Greensboro Municipal,Greensboro,AL,USA
7A2,Demopolis Municipal,Demopolis,AL,USA
7A3,Lanett Municipal,Lanett,AL,USA
7A5,Roanoke Municipal,Roanoke,AL,USA
7A8,Avery County/Morrison,Spruce Pine,NC,USA
7B2,La Fleur,Northampton,MA,USA
7D2,Troy-Oakland,Troy,MI,USA
7F3,Caddo Mills Municipal,Caddo Mills,TX,USA
7F6,Clarksville-Red River County,Clarksville,TX,USA
7F7,Clifton Municipal,Clifton,TX,USA
7F9,Comanche County-City,Comanche,TX,USA
7G0,Ledgedale Airpark,Brockport,NY,USA
7G8,Geauga County,Middlefield,OH,USA
7I7,Bellefontaine Municipal,Bellefontaine,OH,USA
7K0,Pike County-Hatcher,Pikeville,KY,USA
7K2,Skagway SPB,Skagway,AK,USA
7K4,Ohio County,Hartford,KY,USA
7K8,Martin,South Sioux City,NE,USA
7KA,Tatitlek,Tatitlek,AK,USA
7M1,McGehee Municipal,McGehee,AR,USA
7M3,Bearce,Mount Ida,AR,USA
7M4,Osceola Municipal,Osceola,AR,USA
7M5,Ozark-Franklin County,Ozark,AR,USA
7M7,Piggott Municipal,Piggott,AR,USA
7N0,New Orleans Downtown Heliport,New Orleans,LA,USA
7N1,Corning-Painted Post,Corning,NY,USA
7N7,Spitfire Aerodrome,Pedrictown,NJ,USA
7S0,Ronan,Ronan,MT,USA
7S1,Twin Bridges,Twin Bridges,MT,USA
7S5,Independence State,Independence,OR,USA
7S6,White Sulphur Springs,White Sulphur Springs,MT,USA
7S7,Valier,Valier,MT,USA
7V1,Buena Vista Muni,Buena Vista,CO,USA
7V7,Red Cloud Municipal,Red Cloud,NE,USA
7W6,Hyde County,Englehard,NC,USA
80F,Antlers Municipal,Antlers,OK,USA
81B,Oxford County Regional,Norway,ME,USA
82C,Mauston-New Lisbon Union,New Lisbon,WI,USA
82V,Pine Bluffs Municipal,Pine Bluffs,WY,USA
83D,Mackinac County,St Ignace,MI,USA
84D,Cheyenne Eagle Butte,Eagle Butte,SD,USA
84K,Meyers Chuck SPB,Meyers Chuck,AK,USA
84R,Smithville Municipal,Smithville,TX,USA
85V,Ganado,Ganado,AZ,USA
86F,Carnegie Municipal,Carnegie,OK,USA
87I,Yazoo County,Yazoo City,MS,USA
87Y,Blackhawk Airfield,Madison,WI,USA
88C,Palmyra Municipal,Palmyra,WI,USA
88J,Allendale County,Allendale,SC,USA
88M,Eureka,Eureka,MT,USA
89D,Kelleys Island Land,Kelleys Island,OH,USA
8A0,Albertville Municipal,Albertville,AL,USA
8A1,Guntersville Municipal,Guntersville,AL,USA
8A3,Livingston Municipal,Livingston,TN,USA
8B0,Rangeley Municipal,Rangeley,ME,USA
8D1,New Holstein Municipal,New Holstein,WI,USA
8D3,Sisseton Municipal,Sisseton,SD,USA
8D4,Sparta,Sparta,MI,USA
8D7,Clark County,Clark,SD,USA
8D9,Howard Municipal,Howard,SD,USA
8F7,Decatur Municipal,Decatur,TX,USA
8G2,Lawrence,Corry,PA,USA
8G6,Harrison County,Cadiz,OH,USA
8G7,Zelienople,Zelienople,PA,USA
8K8,Cimarron Municipal,Cimarron,KS,USA
8K9,Murphys Pullout SPB,Ketchikan,AK,USA
8M1,Booneville-Baldwyn,Booneville,MS,USA
8S1,Polson,Polson,MT,USA
8S2,Cashmere-Dryden,Cashmere,WA,USA
8S5,East Cooper,Mt Pleasant,SC,USA
8U6,Terry,Terry,MT,USA
8U8,Townsend,Townsend,MT,USA
8V2,Stuart-Atkinson Municipal,Atkinson,NE,USA
8Y2,Buffalo Municipal,Buffalo,MN,USA
91C,Sauk - Prairie,Prairie Du Sac,WI,USA
91F,Arrowhead,Canadian,OK,USA
93B,Stonington,Stonington,ME,USA
93C,Richland,Richland Center,WI,USA
93F,Mignon Laird Municipal,Cheyenne,OK,USA
93Y,David City Municipal,David City,NE,USA
94K,Cassville Municipal,Cassville,MO,USA
95F,Cleveland Municipal,Cleveland,OK,USA
96D,Walhalla Municipal,Walhalla,ND,USA
96Z,North Whale SPB,North Whale Pass,AK,USA
97M,Ekalaka,Ekalaka,MT,USA
98D,Onida Municipal,Onida,SD,USA
99N,Bamburg County,Bamburg,SC,USA
99Y,Greeley Municipal,Greeley,NE,USA
9A1,Covington Municipal,Covington,GA,USA
9A3,Chuathbaluk,Chuathbaluk,AK,USA
9A4,Lawrence County,Courtland,AL,USA
9A5,Barwick-LaFayette,LaFayette,GA,USA
9A6,Chester Municipal,Chester,SC,USA
9A8,Ugashik,Ugashik,AK,USA
9C8,Evart Municipal,Evart,MI,USA
9D0,Highmore Municipal,Highmore,SD,USA
9D1,Gregory Municipal,Gregory,SD,USA
9D2,Harding County,Buffalo,SD,USA
9D7,Cando Municipal,Cando,ND,USA
9D9,Hastings Municipal,Hastings,MI,USA
9G0,Buffalo Airfield,Buffalo,NY,USA
9G1,West Penn,Tarentum,PA,USA
9G3,Akron,Akron,NY,USA
9G5,Royalton,Gasport,NY,USA
9G8,Ebensburg,Ebensburg,PA,USA
9I0,Havana Regional,Havana,IL,USA
9I3,West Liberty,West Liberty,KY,USA
9K2,Kokhanok,Kokhanok,AK,USA
9K4,Skyhaven,Warrensburg,MO,USA
9K7,Ellsworth Municipal,Ellsworth,KS,USA
9K8,Kingman Municipal,Kingman,KS,USA
9M4,Ackerman-Choctaw County,Ackerman,MS,USA
9M6,Kelly,Oak Grove,LA,USA
9M8,Sheridan-Grant County Regional,Sheridan,AR,USA
9S2,Scobey,Scobey,MT,USA
9S4,Mineral County,Superior,MT,USA
9S5,Three Forks,Three Forks,MT,USA
9S7,Winifred,Winifred,MT,USA
9S9,Lexington,Lexington,OR,USA
9U0,Turner,Turner,MT,USA
9U3,Austin,Austin,NV,USA
9U4,Dixon,Dixon,WY,USA
9V5,Modisett,Rushville,NE,USA
9V6,Martin Municipal,Martin,SD,USA
9V9,Chamberlain Municipal,Chamberlain,SD,USA
9W7,Currituck County,Currituck,NC,USA
A04,Centre Municipal,Centre,AL,USA
A14,Portage Creek,Portage Creek,AK,USA
A29,Sitka SPB,Sitka,AK,USA
A30,Scott Valley,Fort Jones,CA,USA
A32,Butte Valley,Dorris,CA,USA
A61,Tuntutuliak,Tuntutuliak,AK,USA
A63,Twin Hills,Twin Hills,AK,USA
A79,Chignik Lake,Chignik Lake,AK,USA
A85,Kwigillingok,Kwigillingok,AK,USA
AAF,Apalachicola Municipal,Apalachicola,FL,USA
AAO,Colonel James Jabara,Wichita,KS,USA
AAS,Taylor County,Cambellsville,KY,USA
AAT,Alturas Municipal,Alturas,CA,USA
ABE,Lehigh Valley International,Allentown,PA,USA
ABI,Abilene Regional,Abilene,TX,USA
ABO,Antonio (Nery) Juarbe Pol,Arecibo,PR,USA
ABQ,Albuquerque International,Albuquerque,NM,USA
ABR,Aberdeen Regional,Aberdeen,SD,USA
ABY,Southwest Georgia Regional,Albany,GA,USA
ACB,Antrim County,Bellaire,MI,USA
ACJ,Souther,Americus,GA,USA
ACK,Nantucket Memorial,Nantucket,MA,USA
ACQ,Waseca Municipal,Waseca,MN,USA
ACT,Waco Regional,Waco,TX,USA
ACV,Arcata,Arcata/Eureka,CA,USA
ACY,Atlantic City International,Atlantic City,NJ,USA
ACZ,Henderson,Wallace,NC,USA
ADC,Wadena Municipal,Wadena,MN,USA
ADG,Lenawee County,Adrian,MI,USA
ADH,Ada Municipal,Ada,OK,USA
ADK,Adak,Adak,AK,USA
ADM,Ardmore Municipal,Ardmore,OK,USA
ADQ,Kodiak,Kodiak,AK,USA
ADS,Addison,Dallas/Addison,TX,USA
ADT,Atwood-Rawlins County City-County,Atwood,KS,USA
ADU,Audubon Municipal,Audubon,IA,USA
AEG,Double Eagle II,Albuquerque,NM,USA
AEL,Albert Lea Municipal,Albert Lea,MN,USA
AEX,Alexandria International,Alexandria,LA,USA
AFE,Kake,Kake,AK,USA
AFJ,Washington County,Washington,PA,USA
AFK,Nebraska City Municipal,Nebraska City,NE,USA
AFM,Ambler,Ambler,AK,USA
AFN,Jaffrey Municipal Silver Ranch,Jaffrey,NH,USA
AFO,Afton Municipal,Afton,WY,USA
AFW,Fort Worth Alliance,Fort Worth,TX,USA
AGC,Allegheny Cty,Pittsburgh,PA,USA
AGN,Angoon SPB,Angoon,AK,USA
AGO,Magnolia Municipal,Magnolia,AR,USA
AGS,Bush,Augusta,GA,USA
AGZ,Wagner Municipal,Wagner,SD,USA
AHH,Amery Municipal,Amery,WI,USA
AHN,Athens Municipal,Athens,GA,USA
AHP,Port Alexander SPB,Port Alexander,AK,USA
AHQ,Wahoo Municipal,Wahoo,NE,USA
AIA,Alliance Municipal,Alliance,NE,USA
AID,Anderson Municipal,Anderson,IN,USA
AIG,Langlade County,Antigo,WI,USA
AIK,Aiken Municipal,Aiken,SC,USA
AIO,Atlantic Municipal,Atlantic,IA,USA
AIT,Aitkin Municipal,Aitkin,MN,USA
AIV,George Downer,Aliceville,AL,USA
AIY,Atlantic City Municipal,Atlantic City,NJ,USA
AIZ,Lee C Fine Memorial,Kaiser/Lake Ozark,MO,USA
AJC,Chignik (Anchorage Bay),Chignik,AK,USA
AJG,Mt Carmel Municipal,Mt Carmel,IL,USA
AJO,Corona Municipal,Corona,CA,USA
AJR,Habersham County,Cornelia,GA,USA
AK5,Perryville,Perryville,AK,USA
AKA,Atka,Atka,AK,USA
AKH,Gastonia Municipal,Gastonia,NC,USA
AKI,Akiak,Akiak,AK,USA
AKK,Akhiok,Akhiok,AK,USA
AKN,King Salmon,King Salmon,AK,USA
AKO,Akron-Washington Co,Akron,CO,USA
AKP,Anaktuvuk Pass,Anaktuvuk Pass,AK,USA
AKR,Akron Fulton Intl.,Akron,OH,USA
AKW,Klawock,Klawock,AK,USA
AL08,Vaiden,Marion,AL,USA
ALB,Albany Cty,Albany,NY,USA
ALI,Alice International,Alice,TX,USA
ALM,Alamogordo-White Sands Regional,Alamogordo,NM,USA
ALN,St. Louis Regional,Alton/St. Louis,IL,USA
ALO,Waterloo Municipal,Waterloo,IA,USA
ALS,San Luis Valley Regional/Bergman,Alamosa,CO,USA
ALW,Walla Walla Regional,Walla Walla,WA,USA
ALX,Thomas C Russell,Alexander City,AL,USA
AMA,Amarillo International,Amarillo,TX,USA
AMG,Bacon County,Alma,GA,USA
AMN,Gratiot Community,Alma,MI,USA
AMT,Alexander Salamon,West Union,OH,USA
AMW,Ames Municipal,Ames,IA,USA
ANB,Anniston Metropolitan,Anniston,AL,USA
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA
AND,Anderson County,Anderson,SC,USA
ANE,Anoka County,Minneapolis,MN,USA
ANI,Aniak,Aniak,AK,USA
ANQ,Steuben County-Tri State,Angola,IN,USA
ANV,Anvik,Anvik,AK,USA
ANW,Ainsworth Municipal,Ainsworth,NE,USA
ANY,Anthony Municipal,Anthony,KS,USA
AOC,Arco-Butte County,Arco,ID,USA
AOH,Allen County,Lima,OH,USA
AOO,Altoona-Blair Cty,Altoona,PA,USA
APA,Centennial,Denver,CO,USA
APC,Napa County,Napa,CA,USA
APF,Naples Municipal,Naples,FL,USA
APN,Alpena County Regional,Alpena,MI,USA
APT,Marion County-Brown,Jasper,TN,USA
APV,Apple Valley,Apple Valley,CA,USA
AQC,Klawock SPB,Klawock,AK,USA
AQH,Kwinhagak,Quinhagak,AK,USA
AQT,Nuiqsut,Nuiqsut,AK,USA
AQW,Harriman And West,North Adams,MA,USA
AQY,Girdwood,Girdwood,AK,USA
ARA,Acadiana Regional,New Iberia,LA,USA
ARB,Ann Arbor Municipal,Ann Arbor,MI,USA
ARC,Arctic Village,Arctic Village,AK,USA
ARG,Walnut Ridge Regional,Walnut Ridge,AR,USA
ARR,Aurora Municipal,Chicago/Aurora,IL,USA
ART,Watertown Intl,Watertown,NY,USA
ARV,Lakeland,Minocqua-Woodruff,WI,USA
ASD,Slidell,Slidell,LA,USA
ASE,Aspen-Pitkin Co/Sardy,Aspen,CO,USA
ASG,Springdale Municipal,Springdale,AR,USA
ASH,Boire,Nashua,NH,USA
ASJ,Tri-County,Ahoskie,NC,USA
ASL,Marshall - Harrison County,Marshall,TX,USA
ASN,Talladega Municipal,Talladega,AL,USA
AST,Astoria Regional,Astoria,OR,USA
ASW,Warsaw Municipal,Warsaw,IN,USA
ASX,John F Kennedy Memorial,Ashland,WI,USA
ATA,Hall-Miller Municipal,Atlanta,TX,USA
ATK,Atqasuk,Atqasuk,AK,USA
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA
ATS,Artesia Municipal,Artesia,NM,USA
ATW,Outagamie County Regional,Appleton,WI,USA
ATY,Watertown Municipal,Watertown,SD,USA
AUG,Augusta State,Augusta,ME,USA
AUH,Aurora Municipal,Aurora,NE,USA
AUK,Alakanuk,Alakanuk,AK,USA
AUM,Austin Municipal,Austin,MN,USA
AUN,Auburn Municipal,Auburn,CA,USA
AUO,Auburn-Opelik,Auburn,AL,USA
AUS,Austin-Bergstrom International,Austin,TX,USA
AUW,Wausau Municipal,Wausau,WI,USA
AVC,Mecklenburg-Brunswick Regional,South Hill,VA,USA
AVK,Alva Regional,Alva,OK,USA
AVL,Asheville Regional,Asheville,NC,USA
AVO,Avon Park Municipal,Avon Park,FL,USA
AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA
AVQ,Marana Northwest Regional,Marana,AZ,USA
AVX,Catalina,Avalon,CA,USA
AWG,Washington Municipal,Washington,IA,USA
AWI,Wainwright,Wainwright,AK,USA
AWM,West Memphis Municipal,West Memphis,AR,USA
AWO,Arlington Municipal,Arlington,WA,USA
AXA,Algona Municipal,Algona,IA,USA
AXN,Chandler,Alexandria,MN,USA
AXS,Altus Municipal,Altus,OK,USA
AXV,Neil Armstrong,Wapakoneta,OH,USA
AXX,Angel Fire,Angel Fire,NM,USA
AYS,Waycross-Ware County,Waycross,GA,USA
AZC,Colorado City Municipal,Colorado City,AZ,USA
AZE,Hazelhurst,Hazelhurst,GA,USA
AZO,Kalamazoo County,Kalamazoo,MI,USA
B01,Granville,Granville,NY,USA
B08,Silver Springs,Silver Springs,NV,USA
B16,Whitford,Weedsport,NY,USA
B19,Biddeford Municipal,Biddeford,ME,USA
B21,Sugarloaf Regional,Carrabasset,ME,USA
BAF,Barnes Municipal,Westfield,MA,USA
BAK,Columbus Municipal,Columbus,IN,USA
BAM,Battle Mountain,Battle Mountain,NV,USA
BAX,Huron County Memorial,Bad Axe,MI,USA
BAZ,New Braunfels Municipal,New Braunfels,TX,USA
BBB,Benson Municipal,Benson,MN,USA
BBD,Curtis,Brady,TX,USA
BBP,Marlboro County,Bennettsville,SC,USA
BBW,Broken Bow Municipal,Broken Bow,NE,USA
BCB,Virginia Tech,Blacksburg,VA,USA
BCE,Bryce Canyon,Bryce Canyon,UT,USA
BCK,Black River Falls Area,Black River Falls,WI,USA
BCT,Boca Raton,Boca Raton,FL,USA
BCV,Birchwood,Birchwood,AK,USA
BDE,Baudette International,Baudette,MN,USA
BDG,Blanding Muni,Blanding,UT,USA
BDL,Bradley International,Windsor Locks,CT,USA
BDQ,Morrilton Municipal,Morrilton,AR,USA
BDR,Igor I Sikorsky Memorial,Bridgeport,CT,USA
BDX,Broadus,Broadus,MT,USA
BED,Laurence G Hanscom,Bedford,MA,USA
BEH,Southwest Michigan Regional,Benton Harbor,MI,USA
BET,Bethel,Bethel,AK,USA
BFD,Bradford Reg,Bradford,PA,USA
BFF,Scotts Bluff County,Scottsbluff,NE,USA
BFI,Boeing Field/King County Intl,Seattle,WA,USA
BFK,Buffalo Municipal,Buffalo,OK,USA
BFL,Meadows,Bakersfield,CA,USA
BFM,Mobile Downtown,Mobile,AL,USA
BFR,Virgil I Grissom Municipal,Bedford,IN,USA
BFW,Silver Bay Municipal,Silver Bay,MN,USA
BGD,Hutchinson County,Borger,TX,USA
BGE,Decatur County Industrial Airpark,Bainbridge,GA,USA
BGF,Winchester Municipal,Winchester,TN,USA
BGM,Binghamton Regional,Binghamton,NY,USA
BGQ,Big Lake Strip Nr 2,Big Lake,AK,USA
BGR,Bangor International,Bangor,ME,USA
BHB,Hancock Co-Bar Harbor,Bar Harbor,ME,USA
BHC,Baxley Municipal,Baxley,GA,USA
BHK,Baker Muni,Baker City,MT,USA
BHM,Birmingham International,Birmingham,AL,USA
BID,Block Island State,Block Island,RI,USA
BIE,Beatrice Municipal,Beatrice,NE,USA
BIG,Allen AAF,Delta Junction,AK,USA
BIH,Bishop,Bishop,CA,USA
BIL,Billings Logan Intl,Billings,MT,USA
BIS,Bismarck Municipal,Bismarck,ND,USA
BIV,Tulip City,Holland,MI,USA
BJC,Jeffco,Denver,CO,USA
BJI,Bemidji-Beltrami County,Bemidji,MN,USA
BJJ,Wayne County,Wooster,OH,USA
BKD,Breckenridge Stephens County,Breckenridge,TX,USA
BKE,Baker City Municipal,Baker City,OR,USA
BKL,Burke Lakefront,Cleveland,OH,USA
BKV,Hernando County,Brooksville,FL,USA
BKW,Raleigh Cty Memorial,Beckley,WV,USA
BKX,Brookings Municipal,Brookings,SD,USA
BLF,Mercer Cty,Bluefield,WV,USA
BLH,Blythe,Blythe,CA,USA
BLI,Bellingham Intl,Bellingham,WA,USA
BLM,Allaire Arpt,Belmar/Farmingdale,NJ,USA
BLV,Scott AFB/MidAmerica,Belleville/St. Louis,IL,USA
BMC,Brigham City,Brigham City,UT,USA
BMG,Monroe County,Bloomington,IN,USA
BMI,Central Illinois Regional,Bloomington,IL,USA
BML,Berlin Municipal,Berlin,NH,USA
BMQ,Burnet Muni-Kate Craddock,Burnet,TX,USA
BMT,Beaumont Municipal,Beaumont,TX,USA
BNA,Nashville International,Nashville,TN,USA
BNF,Baranof Warm Springs SPB,Baranof Warm Springs,AK,USA
BNG,Banning Municipal,Banning,CA,USA
BNL,Barnwell County,Barnwell,SC,USA
BNO,Burns Muni,Burns,OR,USA
BNW,Boone Municipal,Boone,IA,USA
BOI,Boise Air Terminal,Boise,ID,USA
BOK,Brookings,Brookings,OR,USA
BOS,Gen Edw L Logan Intl,Boston,MA,USA
BOW,Bartow Municipal,Bartow,FL,USA
BPI,Big Piney-Marbleton,Big Piney,WY,USA
BPK,Baxter County Regional,Mountain Home,AR,USA
BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,USA
BQK,Glynco Jetport,Brunswick,GA,USA
BQN,Rafael Hernandez,Aguadilla,PR,USA
BRD,Brainerd-Crow Wing County Regional,Brainerd,MN,USA
BRL,Burlington Municipal,Burlington,IA,USA
BRO,Brownsville/S.Padre Island International,Brownsville,TX,USA
BRW,Wiley Post Will Rogers Memorial,Barrow,AK,USA
BRY,Samuels,Bardstown,KY,USA
BST,Belfast Municipal,Belfast,ME,USA
BTI,Barter Island,Kaktovik,AK,USA
BTL,W K Kellogg Regional,Battle Creek,MI,USA
BTM,Bert Mooney,Butte,MT,USA
BTN,Britton Municipal,Britton,SD,USA
BTP,Butler Cty,Butler,PA,USA
BTR,Baton Rouge Metropolitan, Ryan,Baton Rouge,LA
BTT,Bettles,Bettles,AK,USA
BTV,Burlington International,Burlington,VT,USA
BTY,Beatty,Beatty,NV,USA
BUB,Cram,Burwell,NE,USA
BUF,Buffalo Niagara Intl,Buffalo,NY,USA
BUM,Butler Memorial,Butler,MO,USA
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA
BUY,Burlington Municipal,Burlington,NC,USA
BVI,Beaver County,Beaver Falls,PA,USA
BVK,Buckland,Buckland,AK,USA
BVN,Albion Municipal,Albion,NE,USA
BVO,Bartlesville Municipal,Bartlesville,OK,USA
BVS,Skagit Regional/Bay View,Burlington/Mount Vernon,WA,USA
BVX,Batesville Regional,Batesville,AR,USA
BVY,Beverly Municipal,Beverly,MA,USA
BWC,Brawley Municipal,Brawley,CA,USA
BWD,Brownwood Municipal,Brownwood,TX,USA
BWG,Bowling Green-Warren County,Bowling Green,KY,USA
BWI,Baltimore-Washington International,Baltimore,MD,USA
BWP,Harry Stern,Wahpeton,ND,USA
BXA,George R Carr Memorial,Bogalusa,LA,USA
BXG,Burke County,Waynesboro,GA,USA
BXK,Buckeye Municipal,Buckeye,AZ,USA
BYA,Boundary,Boundary,AK,USA
BYG,Johnson County,Buffalo,WY,USA
BYI,Burley Municipal,Burley,ID,USA
BZN,Gallatin,Bozeman,MT,USA
C00,Mercer County,Aledo,IL,USA
C05,Chenega Bay,Chenega,AK,USA
C09,Morris Municipal,Morris,IL,USA
C15,Pekin Municipal,Pekin,IL,USA
C17,Marion,Marion,IA,USA
C18,Frankfort,Chicago/Frankfort,IL,USA
C25,Waverly Municipal,Waverly,IA,USA
C29,Morey,Middleton,WI,USA
C34,Gibson City Municipal,Gibson City,IL,USA
C35,Reedsburg Municipal,Reedsburg,WI,USA
C47,Portage Municipal,Portage,WI,USA
C52,Burlington Municipal,Burlington,WI,USA
C56,Sanger,Chicago/Monee,IL,USA
C62,Kendallville Municipal,Kendallville,IN,USA
C65,Plymouth Municipal,Plymouth,IN,USA
C66,Monmouth Municipal,Monmouth,IL,USA
C71,Crosby Municipal,Crosby,MS,USA
C73,Dixon Muni-Charles R Walgreen,Dixon,IL,USA
C75,Marshall County,Lacon,IL,USA
C77,Poplar Grove,Poplar Grove,IL,USA
C80,New Coalinga Municipal,Coalinga,CA,USA
C81,Campbell,Chicago/Round Lake Park,IL,USA
C83,Byron,Byron,CA,USA
C91,Dowagiac Municipal,Dowagiac,MI,USA
CAD,Wexford County,Cadillac,MI,USA
CAE,Columbia Metropolitan,Columbia,SC,USA
CAG,Craig-Moffat,Craig,CO,USA
CAK,Akron-Canton Regional,Akron,OH,USA
CAO,Clayton Municipal Airpark,Clayton,NM,USA
CAR,Caribou Municipal,Caribou,ME,USA
CAV,Clarion Municipal,Clarion,IA,USA
CBE,Cumberland Regional,Cumberland,MD,USA
CBF,Council Bluffs Municipal,Council Bluffs,IA,USA
CBG,Cambridge Municipal,Cambridge,MN,USA
CBK,Shaltz,Colby,KS,USA
CCB,Cable,Upland,CA,USA
CCO,Newnan-Coweta County,Newnan,GA,USA
CCR,Buchanan,Concord,CA,USA
CCY,Charles City Municipal,Charles City,IA,USA
CDB,Cold Bay,Cold Bay,AK,USA
CDC,Cedar City Muni,Cedar City,UT,USA
CDH,Harrell,Camden,AR,USA
CDI,Cambridge Municipal,Cambridge,OH,USA
CDK,George T Lewis,Cedar Key,FL,USA
CDN,Woodward,Camden,SC,USA
CDR,Chadron Municipal,Chadron,NE,USA
CDV,Merle K (Mudhole) Smith,Cordova,AK,USA
CDW,Essex Cty Arpt,Caldwell,NJ,USA
CEC,Jack McNamara,Crescent City,CA,USA
CEF,Westover AFB,Chicopee,MA,USA
CEK,Crete Municipal,Crete,NE,USA
CEM,Central,Central,AK,USA
CEU,Oconee County Regional,Clemson,SC,USA
CEV,Mettel,Connersville,IN,USA
CEW,Bob Sikes,Crestview,FL,USA
CEY,Kyle-Oakley,Murray,KY,USA
CEZ,Cortez Muni,Cortez,CO,USA
CFD,Coulter,Bryan,TX,USA
CFJ,Crawfordsville Municipal,Crawfordsville,IN,USA
CFK,Chefornak,Chefornak,AK,USA
CFT,Greenlee County,Clifton-Morenci,AZ,USA
CFV,Coffeyville Municipal,Coffeyville,KS,USA
CGA,Craig SPB,Craig,AK,USA
CGC,Crystal River,Crystal River,FL,USA
CGE,Cambridge-Dorchester,Cambridge,MD,USA
CGF,Cuyahoga County,Cleveland,OH,USA
CGI,Cape Girardeau Municipal,Cape Girardeau,MO,USA
CGS,College Park,College Park,MD,USA
CGX,Chicago Meigs,Chicago,IL,USA
CGZ,Casa Grande Municipal,Casa Grande,AZ,USA
CHA,Lovell,Chattanooga,TN,USA
CHD,Chandler Municipal,Chandler,AZ,USA
CHK,Chickasha Municipal,Chickasha,OK,USA
CHO,Charlottesville-Albermarle,Charlottesville,VA,USA
CHP,Circle Hot Springs,Circle Hot Springs,AK,USA
CHS,Charleston AFB/International,Charleston,SC,USA
CHT,Chillicothe Municipal,Chillicothe,MO,USA
CHU,Houston County,Caledonia,MN,USA
CIC,Chico Municipal,Chico,CA,USA
CID,Eastern Iowa,Cedar Rapids,IA,USA
CII,Choteau,Choteau,MT,USA
CIK,Chalkyitsik,Chalkyitsik,AK,USA
CIN,Arthur N Neu,Carroll,IA,USA
CIR,Cairo,Cairo,IL,USA
CIU,Chippewa County International,Sault Ste. Marie,MI,USA
CJR,Culpeper Regional,Culpeper,VA,USA
CJX,Crooked Creek,Crooked Creek,AK,USA
CKB,Benedum,Clarksburg,WV,USA
CKC,Grand Marais/Cook County,Grand Marais,MN,USA
CKF,Crisp County - Cordele,Cordele,GA,USA
CKI,Williamsburg County,Kingstree,SC,USA
CKM,Fletcher,Clarksdale,MS,USA
CKN,Crookston Muni Kirkwood,Crookston,MN,USA
CKP,Cherokee Municipal,Cherokee,IA,USA
CKU,Cordova Muni,Cordova,AK,USA
CKV,Outlaw,Clarksville,TN,USA
CKX,Chicken,Chicken,AK,USA
CLD,MC Clellan-Palomar Airport,NA,NA,USA
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA
CLI,Clintonville Municipal,Clintonville,WI,USA
CLK,Clinton Municipal,Clinton,OK,USA
CLL,Easterwood,College Station,TX,USA
